word,frequency
grandchildren,4
waste,115
defunding,8
ordering,5
raise,98
low,211
nation,316
sunk,7
ericcantor,2
con,47
goods,30
eventually,14
seeks,8
destroy,111
credit,111
continues,124
hemorrhage,1
jobs,766
total,644
failure,97
tax,429
increase,98
repeal,88
robust,5
economic,215
growth,116
problem,255
cuts,180
elderly,3
addicted,6
insolvency,3
proves,20
enemy,115
redstate,11
politicians,160
gang,49
six,30
unmitigated,3
disaster,256
needs,461
gretawire,96
leaders,242
leading,96
increasing,16
weakens,1
domestically,3
internationally,5
senator,254
ronald,53
kessler,3
secrets,11
fbi,285
unfortunately,32
continued,30
attack,229
lead,198
rising,36
gas,112
prices,149
pump,9
fiscal,38
discipline,7
social,80
security,416
growing,29
pressure,73
sadly,90
private,77
sector,35
background,22
shows,180
mismanagement,3
cash,40
costing,11
taxpayer,25
billions,146
fraud,120
funding,68
seniors,15
situation,97
norway,4
amanda,2
knox,3
crazy,226
everything,292
greater,57
gdp,52
default,6
toughest,11
negotiator,20
kill,54
creation,14
wild,38
government,334
away,261
ask,162
pose,3
pictures,17
camera,8
works,76
maybe,131
nervous,31
newsmax,23
totally,453
boehner,7
fold,12
karlrove,75
crossroadsgps,2
criticizes,5
excessive,6
borrowing,10
bush,263
released,160
plan,168
ineffective,32
chance,175
appreciate,74
words,231
mike,215
huckabee,10
fine,76
leach,3
swing,22
sword,2
coach,42
written,79
definitely,66
worth,106
quit,55
hit,245
comeback,31
blue,101
commission,20
agree,368
future,229
idea,118
fight,285
loses,23
watched,146
hannity,20
reid,10
important,308
victory,190
panels,10
pollster,17
pat,12
cadell,1
voters,116
sick,78
parties,18
disappointed,27
dems,450
mistake,113
defense,103
strong,577
help,469
strengthen,16
created,80
learn,144
worse,210
squawk,4
approved,65
wake,36
eating,11
lunch,20
believe,468
proper,27
leadership,278
pass,102
white,417
joe,245
stealing,15
statements,74
ideas,76
without,293
story,358
republican,578
giovanni,1
coal,37
fire,128
pizza,8
florida,312
donating,11
feed,6
youngsters,1
officially,43
became,62
demanded,9
agency,12
downgraded,8
uncertain,2
care,266
impact,59
opec,70
mahmoud,1
